Gender,Position,Recommend
male,middle management,1
male,upper management,1
male,operational,1
male,middle management,1
female,upper management,0
male,top management,1
female,middle management,1
female,junior management,1
female,middle management,0
male,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
male,upper management,1
female,junior management,1
female,middle management,1
male,middle management,1
female,junior management,1
male,operational,1
female,upper management,1
female,junior management,1
male,junior management,1
female,operational,1
male,junior management,1
female,operational,1
male,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
male,junior management,1
female,middle management,1
male,operational,0
female,junior management,1
female,operational,0
female,operational,1
female,junior management,1
female,junior management,1
female,middle management,1
male,junior management,1
male,middle management,1
female,middle management,1
female,operational,1
female,upper management,1
female,operational,1
male,middle management,1
female,operational,1
male,junior management,0
male,middle management,0
male,middle management,1
female,operational,0
female,upper management,1
female,middle management,1
female,operational,1
male,operational,1
female,middle management,1
male,middle management,0
female,middle management,1
female,operational,1
male,junior management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,junior management,1
male,middle management,1
female,junior management,1
female,junior management,1
female,middle management,1
male,middle management,1
female,upper management,1
male,junior management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
male,upper management,1
male,upper management,1
male,middle management,1
female,middle management,1
male,operational,0
female,middle management,1
male,middle management,1
female,junior management,1
male,top management,1
male,middle management,1
female,middle management,0
female,junior management,1
female,middle management,1
female,middle management,1
female,middle management,1
male,middle management,1
male,junior management,1
female,junior management,1
female,junior management,1
female,operational,1
female,junior management,1
female,middle management,1
male,middle management,1
male,operational,1
female,middle management,1
female,junior management,0
male,middle management,1
female,middle management,0
male,upper management,1
male,junior management,1
female,middle management,1
female,middle management,0
male,middle management,0
female,middle management,0
female,middle management,1
female,junior management,0
female,upper management,1
female,middle management,1
female,middle management,1
female,upper management,1
female,operational,1
male,operational,1
female,junior management,1
female,middle management,1
male,middle management,1
female,middle management,1
male,upper management,1
female,middle management,1
male,upper management,1
female,upper management,1
male,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
male,operational,1
male,junior management,1
female,upper management,1
male,middle management,0
female,upper management,1
female,operational,1
female,operational,1
female,middle management,0
female,operational,0
male,middle management,1
female,operational,1
female,top management,1
female,top management,1
male,middle management,0
male,operational,1
male,middle management,1
female,operational,0
female,middle management,1
female,operational,1
female,middle management,1
female,operational,1
male,middle management,1
female,operational,1
female,junior management,1
male,middle management,0
female,upper management,1
female,junior management,0
male,middle management,1
male,upper management,1
female,middle management,1
female,junior management,1
female,junior management,1
female,middle management,1
male,middle management,1
female,middle management,1
male,upper management,1
female,middle management,1
female,middle management,1
female,junior management,0
female,middle management,1
female,middle management,0
male,upper management,0
male,operational,1
female,middle management,1
female,operational,1
male,top management,1
male,middle management,1
male,upper management,1
female,operational,1
male,operational,1
female,middle management,1
male,operational,1
female,middle management,1
female,operational,1
female,operational,1
male,junior management,1
female,operational,1
male,upper management,1
male,upper management,1
female,middle management,1
female,upper management,1
male,upper management,1
female,operational,0
female,operational,1
female,operational,1
female,middle management,0
female,operational,1
female,middle management,1
male,middle management,0
female,junior management,1
female,middle management,1
male,operational,1
female,operational,0
male,upper management,1
female,operational,1
female,operational,1
male,middle management,1
female,junior management,1
female,operational,0
male,junior management,1
female,junior management,1
female,junior management,0
male,junior management,1
female,junior management,1
female,upper management,1
male,middle management,1
male,middle management,1
male,upper management,1
female,upper management,0
male,middle management,0
female,upper management,1
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
female,middle management,0
female,middle management,1
male,operational,1
female,operational,1
female,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
female,upper management,1
female,junior management,1
male,upper management,1
female,middle management,1
male,middle management,1
male,upper management,1
male,upper management,0
female,operational,0
female,junior management,0
male,upper management,1
female,upper management,1
female,middle management,0
female,operational,1
male,operational,0
female,upper management,1
male,middle management,1
male,middle management,1
male,operational,0
female,junior management,1
male,junior management,1
male,top management,1
female,operational,0
male,middle management,1
female,top management,1
female,operational,1
female,operational,1
female,top management,1
female,junior management,1
female,middle management,1
female,operational,1
female,upper management,1
female,middle management,1
male,middle management,1
male,middle management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,middle management,0
male,operational,1
male,middle management,1
male,operational,1
female,middle management,1
male,operational,1
female,upper management,1
male,upper management,1
male,middle management,0
female,operational,1
female,operational,1
male,operational,0
female,middle management,1
male,middle management,1
female,middle management,1
female,operational,1
male,top management,1
male,operational,1
female,operational,0
male,junior management,1
female,upper management,1
female,operational,1
male,middle management,1
male,middle management,1
female,middle management,1
male,upper management,1
male,operational,1
female,middle management,1
female,middle management,1
female,upper management,1
female,middle management,1
female,junior management,1
male,operational,1
female,junior management,1
male,middle management,1
female,upper management,1
male,middle management,1
male,operational,1
male,middle management,1
female,upper management,1
female,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,upper management,1
female,junior management,1
female,upper management,1
female,junior management,1
female,upper management,1
female,upper management,1
female,upper management,1
male,operational,1
male,junior management,1
male,middle management,1
female,middle management,1
female,top management,1
female,middle management,0
female,junior management,1
male,operational,1
female,operational,1
female,middle management,1
male,middle management,0
female,middle management,1
female,middle management,1
male,upper management,1
male,middle management,0
male,operational,1
female,middle management,1
male,junior management,1
female,upper management,0
female,junior management,1
male,middle management,1
male,middle management,1
female,upper management,1
male,top management,0
female,operational,1
male,operational,1
male,middle management,1
female,middle management,1
male,operational,1
male,upper management,1
male,operational,1
female,upper management,1
female,junior management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,junior management,0
female,operational,1
male,operational,1
male,middle management,1
female,operational,1
male,junior management,1
female,operational,1
male,middle management,1
male,junior management,1
female,middle management,0
female,middle management,1
female,junior management,0
female,middle management,1
female,upper management,1
male,middle management,1
female,middle management,0
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
female,middle management,1
male,upper management,1
female,junior management,1
female,operational,1
female,middle management,1
female,middle management,1
male,middle management,1
male,junior management,1
male,middle management,1
female,middle management,1
female,operational,1
male,junior management,1
female,middle management,1
female,middle management,1
female,junior management,1
female,operational,1
male,middle management,1
female,upper management,1
female,upper management,1
female,junior management,1
female,top management,1
female,middle management,1
female,middle management,1
female,middle management,0
male,upper management,1
female,upper management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,upper management,1
male,middle management,1
female,operational,1
female,operational,1
male,operational,1
female,junior management,1
male,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
female,junior management,1
male,middle management,1
male,middle management,0
female,middle management,1
female,middle management,1
female,middle management,1
male,middle management,1
female,middle management,1
male,junior management,1
male,junior management,1
female,junior management,1
male,middle management,1
female,upper management,1
female,operational,1
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,middle management,1
female,top management,1
female,middle management,1
female,junior management,1
female,junior management,1
female,middle management,1
female,middle management,1
male,junior management,1
male,middle management,1
female,middle management,1
male,top management,1
female,operational,1
female,middle management,1
female,upper management,1
female,upper management,1
male,junior management,1
male,middle management,1
female,operational,1
male,middle management,1
male,upper management,1
male,operational,1
female,operational,1
male,operational,1
female,upper management,1
female,middle management,0
female,middle management,1
female,operational,1
female,upper management,1
female,operational,1
male,operational,1
female,operational,1
male,middle management,0
male,upper management,1
female,junior management,1
female,upper management,1
female,middle management,1
female,operational,1
female,middle management,1
female,operational,1
female,operational,1
male,upper management,1
female,operational,1
male,operational,1
female,operational,1
female,middle management,1
male,middle management,1
female,junior management,1
female,operational,1
female,middle management,1
female,middle management,1
female,operational,1
female,middle management,0
female,middle management,1
female,operational,1
male,middle management,1
male,upper management,1
female,operational,0
male,middle management,1
female,junior management,1
male,middle management,1
female,middle management,1
male,operational,1
male,middle management,1
female,upper management,0
male,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
female,operational,1
male,operational,1
female,upper management,1
male,middle management,1
male,operational,1
male,upper management,1
male,operational,1
male,junior management,1
male,operational,1
male,middle management,1
male,middle management,1
male,middle management,1
female,middle management,0
male,junior management,1
male,operational,1
male,middle management,1
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
male,upper management,1
female,middle management,1
female,middle management,0
female,junior management,1
female,operational,1
female,middle management,1
female,operational,1
male,upper management,1
male,junior management,1
male,middle management,1
male,upper management,1
female,operational,1
female,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
male,middle management,1
female,upper management,1
female,middle management,1
male,operational,1
male,operational,1
male,middle management,1
male,upper management,1
female,middle management,1
female,upper management,1
female,middle management,0
female,top management,1
female,upper management,1
male,operational,1
female,operational,1
male,middle management,1
female,junior management,1
female,operational,1
female,operational,1
female,operational,1
female,middle management,0
male,upper management,1
male,junior management,1
male,middle management,1
female,upper management,1
female,top management,1
male,middle management,1
female,junior management,1
male,operational,1
female,upper management,1
male,operational,1
female,operational,1
female,middle management,1
female,operational,1
female,middle management,1
male,upper management,1
female,junior management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,junior management,1
female,operational,1
female,operational,0
female,junior management,0
female,operational,1
female,operational,1
female,operational,1
female,middle management,1
male,junior management,1
female,middle management,1
male,operational,1
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,upper management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,operational,1
female,operational,1
female,upper management,1
female,junior management,0
female,operational,1
female,operational,1
female,operational,1
female,operational,1
female,operational,1
female,middle management,0
male,upper management,1
female,operational,1
male,operational,1
male,middle management,0
female,junior management,1
female,middle management,1
female,middle management,1
female,middle management,0
female,middle management,1
female,junior management,1
male,operational,1
male,junior management,1
female,operational,1
female,middle management,0
female,junior management,0
female,middle management,1
male,operational,1
female,middle management,1
male,junior management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
female,operational,1
female,middle management,1
male,middle management,1
female,upper management,1
female,operational,1
female,middle management,1
male,junior management,1
male,operational,1
male,operational,1
female,junior management,1
female,junior management,1
female,upper management,1
male,junior management,1
female,middle management,1
male,upper management,1
male,operational,1
female,junior management,1
female,middle management,1
female,middle management,1
male,middle management,1
female,middle management,0
female,middle management,1
female,upper management,1
female,junior management,1
male,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
male,operational,1
male,middle management,1
male,operational,1
male,upper management,1
male,middle management,1
male,middle management,0
male,operational,1
male,operational,1
female,operational,1
female,middle management,1
male,middle management,1
male,middle management,1
male,junior management,1
male,junior management,1
male,upper management,1
male,middle management,1
male,junior management,1
female,operational,1
female,middle management,1
female,operational,1
male,operational,1
female,operational,1
female,operational,1
male,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
female,junior management,1
male,junior management,1
male,middle management,1
male,junior management,1
female,operational,1
female,operational,0
female,junior management,1
female,middle management,1
male,middle management,1
male,upper management,1
male,operational,1
female,middle management,1
female,middle management,0
male,middle management,1
male,junior management,1
female,upper management,0
male,operational,1
male,junior management,1
male,upper management,1
male,junior management,1
male,operational,0
male,operational,1
female,operational,1
male,upper management,1
female,operational,1
female,upper management,0
male,middle management,1
female,operational,1
male,operational,1
female,top management,1
female,middle management,1
female,operational,1
female,operational,1
female,middle management,0
female,middle management,0
male,middle management,1
female,operational,1
female,operational,1
male,middle management,1
male,operational,1
female,junior management,1
male,operational,1
male,operational,1
male,middle management,1
female,middle management,1
male,junior management,1
female,operational,1
female,operational,1
female,middle management,0
male,operational,1
male,junior management,1
female,operational,1
male,middle management,1
male,middle management,1
female,middle management,0
female,middle management,1
male,middle management,1
female,junior management,1
female,middle management,1
male,operational,1
male,junior management,1
female,middle management,1
female,operational,1
male,upper management,1
male,middle management,0
male,middle management,1
female,middle management,1
female,upper management,1
female,middle management,1
female,middle management,1
female,top management,1
female,operational,0
female,middle management,1
female,operational,1
male,operational,1
female,middle management,1
male,upper management,1
male,operational,1
male,upper management,1
male,middle management,1
female,junior management,1
female,middle management,1
male,operational,1
female,upper management,1
female,middle management,1
male,middle management,1
female,operational,1
male,middle management,1
male,middle management,0
female,middle management,1
female,upper management,1
female,operational,1
female,operational,1
female,operational,1
male,upper management,1
female,operational,1
female,operational,1
male,upper management,1
male,operational,1
male,upper management,1
female,operational,1
female,upper management,1
female,middle management,1
female,operational,1
male,upper management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,upper management,1
female,middle management,1
female,junior management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
female,middle management,1
female,junior management,1
male,upper management,1
female,operational,1
male,middle management,1
male,upper management,1
female,operational,1
male,operational,1
female,operational,1
male,middle management,1
female,junior management,1
female,junior management,1
female,operational,1
male,middle management,1
male,junior management,1
female,operational,1
male,middle management,1
male,operational,1
male,middle management,0
male,top management,1
female,operational,1
male,junior management,1
male,junior management,1
male,middle management,1
female,operational,1
male,operational,1
male,middle management,1
female,operational,0
male,junior management,1
male,operational,1
male,operational,1
male,middle management,1
male,middle management,1
male,operational,1
female,middle management,1
female,upper management,1
male,junior management,1
female,middle management,1
female,middle management,1
male,top management,1
female,middle management,1
female,junior management,0
female,operational,1
female,operational,1
female,operational,1
male,middle management,1
male,upper management,1
female,junior management,1
female,upper management,1
male,middle management,1
female,junior management,1
female,middle management,1
male,operational,1
male,upper management,1
female,operational,1
female,junior management,1
female,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
male,middle management,1
female,upper management,0
female,junior management,1
male,upper management,1
male,middle management,1
female,middle management,1
male,junior management,1
female,middle management,1
female,operational,1
female,operational,1
female,operational,1
male,junior management,1
male,upper management,1
female,operational,1
female,operational,1
female,junior management,0
male,middle management,0
male,operational,1
female,middle management,0
female,upper management,1
female,operational,1
female,operational,1
female,middle management,1
female,junior management,1
male,upper management,1
male,middle management,1
female,operational,1
male,middle management,1
male,middle management,0
female,operational,0
female,middle management,1
male,middle management,1
female,upper management,1
female,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
male,upper management,1
male,middle management,0
female,upper management,1
female,middle management,1
female,junior management,1
male,upper management,1
female,middle management,1
female,middle management,0
male,middle management,1
female,operational,1
male,operational,0
male,middle management,1
male,operational,1
male,middle management,1
female,upper management,1
male,operational,1
female,middle management,1
female,upper management,1
female,operational,1
male,junior management,1
female,middle management,1
female,junior management,1
female,middle management,1
female,middle management,1
male,middle management,1
female,junior management,1
female,middle management,1
female,middle management,0
male,operational,1
male,middle management,1
female,upper management,1
female,middle management,1
female,middle management,1
male,upper management,1
female,junior management,0
male,middle management,1
male,upper management,1
male,middle management,1
female,junior management,1
female,operational,1
male,junior management,1
female,middle management,1
female,middle management,1
female,operational,0
female,middle management,1
female,middle management,1
male,middle management,1
female,operational,1
female,upper management,1
female,middle management,1
female,upper management,1
female,junior management,1
male,middle management,1
male,middle management,0
female,upper management,1
male,middle management,1
male,top management,1
female,upper management,1
male,middle management,1
female,middle management,0
female,operational,1
male,middle management,1
female,operational,0
female,operational,1
female,middle management,1
female,junior management,1
female,middle management,0
male,junior management,1
female,operational,1
female,operational,1
female,top management,1
female,upper management,1
female,operational,1
female,middle management,1
female,middle management,0
female,middle management,1
female,junior management,1
male,middle management,1
male,upper management,1
female,middle management,1
female,operational,1
female,upper management,1
female,operational,1
male,middle management,1
male,middle management,1
female,middle management,1
female,upper management,1
male,middle management,0
female,middle management,1
female,junior management,1
male,middle management,1
female,junior management,1
female,top management,1
female,middle management,1
male,upper management,1
female,middle management,1
male,junior management,1
female,middle management,1
male,junior management,1
female,middle management,1
male,middle management,1
male,middle management,1
female,operational,1
female,operational,1
female,middle management,1
female,top management,1
female,middle management,1
female,middle management,0
female,middle management,1
female,junior management,1
female,middle management,0
male,middle management,1
male,middle management,0
male,middle management,1
female,middle management,0
female,middle management,0
male,middle management,1
female,middle management,1
female,middle management,1
male,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,operational,1
female,middle management,0
female,operational,1
female,upper management,1
male,middle management,1
female,operational,1
male,junior management,1
female,operational,0
male,operational,1
male,upper management,1
female,upper management,1
female,middle management,1
female,operational,0
female,middle management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,middle management,1
male,upper management,1
female,junior management,1
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,junior management,1
female,middle management,1
female,middle management,0
female,operational,1
female,upper management,1
female,junior management,1
female,upper management,1
female,operational,1
female,upper management,1
female,operational,1
female,middle management,1
female,upper management,1
male,middle management,1
female,middle management,1
female,upper management,1
male,middle management,1
male,middle management,1
female,operational,1
male,middle management,1
male,middle management,1
female,junior management,1
female,middle management,1
female,upper management,0
female,junior management,1
male,middle management,0
female,middle management,0
male,middle management,1
male,operational,1
male,junior management,1
female,operational,1
female,operational,0
female,upper management,0
female,middle management,1
female,operational,1
male,junior management,1
male,middle management,1
male,upper management,1
female,operational,1
male,middle management,1
male,upper management,0
female,operational,1
female,operational,0
female,operational,1
male,middle management,1
female,junior management,1
female,middle management,0
male,junior management,1
female,middle management,1
male,operational,1
female,middle management,1
male,operational,0
female,junior management,1
female,upper management,1
female,middle management,1
female,middle management,1
male,middle management,0
female,middle management,0
male,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
female,upper management,1
male,middle management,1
female,operational,1
female,operational,1
male,upper management,0
female,junior management,1
male,middle management,1
female,operational,1
male,middle management,1
female,middle management,1
male,operational,1
male,upper management,1
male,operational,0
male,middle management,1
male,operational,1
female,middle management,1
male,junior management,1
female,junior management,0
female,top management,1
male,middle management,1
female,upper management,1
male,upper management,1
female,junior management,1
male,middle management,1
male,junior management,1
female,junior management,0
male,middle management,1
male,upper management,0
male,middle management,1
male,junior management,1
male,middle management,0
female,junior management,1
male,junior management,1
male,operational,1
male,operational,1
female,middle management,1
female,junior management,1
male,upper management,1
male,middle management,1
female,operational,1
female,middle management,1
female,upper management,1
male,middle management,1
male,upper management,1
female,middle management,1
male,upper management,1
male,operational,1
male,middle management,0
male,middle management,1
male,operational,1
male,upper management,1
male,middle management,1
female,middle management,1
male,operational,1
female,middle management,1
male,operational,1
male,middle management,1
female,upper management,1
male,top management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
male,middle management,1
male,junior management,1
male,operational,0
female,operational,1
female,middle management,1
male,middle management,1
male,upper management,1
male,operational,1
male,middle management,1
male,operational,1
female,junior management,1
male,junior management,1
female,middle management,1
female,operational,1
male,middle management,1
female,operational,1
female,upper management,1
male,middle management,1
male,operational,1
female,operational,0
male,middle management,1
female,middle management,1
male,middle management,1
female,junior management,1
male,operational,1
female,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,junior management,0
female,operational,1
male,middle management,1
female,operational,1
male,upper management,1
female,upper management,1
female,operational,1
male,upper management,1
male,junior management,1
female,operational,1
male,upper management,1
male,middle management,1
male,middle management,1
female,junior management,0
male,operational,1
male,junior management,1
male,operational,1
female,middle management,1
male,operational,1
male,middle management,1
female,operational,1
male,junior management,1
male,operational,1
female,junior management,1
female,middle management,1
male,operational,1
female,middle management,1
female,middle management,1
male,upper management,0
female,middle management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,operational,1
female,operational,1
male,junior management,0
female,middle management,1
female,middle management,1
female,middle management,1
male,middle management,1
female,junior management,0
male,operational,1
female,middle management,1
female,junior management,1
female,middle management,1
female,middle management,1
male,operational,1
male,operational,1
female,operational,1
male,junior management,1
male,middle management,1
female,middle management,1
male,middle management,1
male,upper management,1
male,upper management,1
female,junior management,1
male,operational,1
male,junior management,1
female,upper management,1
female,upper management,1
female,middle management,1
female,operational,1
female,middle management,1
male,junior management,1
male,upper management,1
female,junior management,1
female,middle management,1
female,upper management,1
female,middle management,1
female,junior management,0
male,upper management,1
male,operational,1
male,operational,1
male,junior management,1
male,operational,1
female,upper management,1
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
male,middle management,1
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
male,upper management,1
female,middle management,1
male,operational,1
male,middle management,1
female,junior management,1
female,middle management,1
male,junior management,1
male,top management,1
female,operational,1
male,upper management,1
female,operational,1
female,operational,1
female,junior management,1
female,middle management,1
female,middle management,1
female,operational,0
male,middle management,1
female,operational,0
male,middle management,1
female,middle management,1
male,middle management,1
male,junior management,1
male,junior management,1
female,upper management,1
female,operational,0
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,upper management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,junior management,1
male,upper management,1
male,middle management,0
male,junior management,1
female,middle management,0
female,operational,1
female,upper management,1
male,operational,1
male,operational,1
female,operational,1
male,operational,1
female,middle management,0
female,junior management,1
female,middle management,1
female,middle management,0
female,upper management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,operational,1
female,upper management,1
female,upper management,1
male,middle management,1
female,middle management,1
male,junior management,1
female,top management,1
male,operational,1
male,operational,1
female,operational,0
female,middle management,1
male,operational,1
female,middle management,1
male,middle management,1
male,junior management,1
male,middle management,1
female,operational,1
male,operational,1
male,junior management,1
male,operational,1
female,junior management,1
male,upper management,1
female,middle management,1
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,0
male,operational,1
female,upper management,1
female,operational,1
female,middle management,1
female,middle management,1
male,upper management,1
female,junior management,1
male,upper management,1
male,upper management,1
female,middle management,1
male,upper management,1
male,middle management,1
male,middle management,1
male,upper management,1
male,middle management,1
female,middle management,1
male,upper management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,upper management,1
male,junior management,1
male,operational,1
male,operational,1
male,middle management,1
male,operational,1
male,middle management,1
female,upper management,1
male,junior management,1
male,middle management,1
female,operational,1
male,middle management,1
male,middle management,1
male,middle management,1
male,junior management,1
female,middle management,1
male,middle management,1
male,operational,1
male,operational,0
female,operational,1
male,middle management,1
female,upper management,1
female,upper management,1
female,upper management,1
female,upper management,0
female,middle management,1
female,upper management,1
female,junior management,0
female,upper management,1
female,middle management,1
female,junior management,1
male,upper management,1
female,upper management,1
female,middle management,1
male,junior management,1
male,upper management,0
male,junior management,1
female,middle management,1
male,upper management,1
male,middle management,1
female,middle management,1
female,middle management,0
female,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
male,middle management,1
female,operational,1
female,middle management,1
female,middle management,0
female,upper management,1
female,operational,1
male,junior management,1
female,middle management,1
female,upper management,1
female,operational,1
female,middle management,1
male,upper management,1
male,middle management,1
female,upper management,1
male,operational,1
male,junior management,1
male,middle management,1
male,middle management,1
male,middle management,0
female,operational,1
male,upper management,0
male,middle management,0
male,operational,1
female,operational,0
male,junior management,1
male,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,operational,1
male,middle management,1
female,operational,1
male,upper management,1
male,middle management,1
female,middle management,0
female,upper management,1
female,junior management,1
female,middle management,1
male,middle management,0
female,middle management,1
male,middle management,1
female,middle management,1
male,middle management,1
male,middle management,0
male,operational,1
male,middle management,1
male,operational,1
male,operational,1
female,operational,1
male,middle management,1
female,middle management,1
male,junior management,1
female,operational,1
male,upper management,1
male,middle management,1
male,middle management,1
female,operational,1
female,operational,1
male,middle management,1
female,junior management,1
female,junior management,1
female,middle management,0
male,operational,1
male,operational,1
male,operational,1
female,operational,1
male,middle management,1
female,middle management,1
female,operational,1
female,operational,1
male,operational,1
male,middle management,1
female,junior management,1
male,upper management,1
female,operational,1
female,operational,1
male,operational,0
female,junior management,1
female,junior management,1
male,junior management,1
female,middle management,1
male,junior management,1
female,operational,1
male,junior management,1
male,operational,1
male,middle management,1
female,middle management,0
female,upper management,1
male,middle management,0
female,operational,1
female,operational,1
female,middle management,1
male,middle management,1
female,operational,1
male,top management,1
male,junior management,1
female,middle management,1
female,middle management,1
male,operational,1
female,middle management,1
male,middle management,1
female,operational,1
male,upper management,1
male,middle management,1
male,middle management,1
male,upper management,1
female,upper management,1
female,upper management,1
female,upper management,1
female,operational,1
female,junior management,1
female,middle management,0
male,operational,1
female,middle management,1
female,operational,1
female,middle management,0
female,junior management,1
female,operational,1
male,top management,1
female,operational,1
female,middle management,0
male,middle management,1
female,middle management,1
female,upper management,1
male,middle management,1
female,middle management,1
male,middle management,1
female,middle management,1
female,middle management,1
male,operational,1
female,operational,1
female,junior management,1
male,middle management,1
female,upper management,1
female,operational,1
male,middle management,1
female,middle management,1
female,operational,1
female,middle management,1
female,middle management,1
female,upper management,1
female,upper management,1
female,operational,1
male,operational,1
male,operational,1
male,middle management,1
female,operational,1
male,junior management,1
female,junior management,1
female,junior management,1
female,operational,1
female,upper management,1
female,middle management,1
male,junior management,1
female,middle management,1
female,middle management,1
female,middle management,1
female,middle management,1
male,operational,1
female,middle management,1
male,middle management,1
female,upper management,1
male,operational,1
female,operational,1
female,middle management,1
male,middle management,1
male,upper management,1
male,junior management,1
female,middle management,1
male,upper management,1
female,middle management,1
male,upper management,1
male,middle management,1
female,middle management,1
female,junior management,1
male,operational,0
male,upper management,1
female,operational,1
female,middle management,1
male,operational,1
female,middle management,1
female,middle management,1
male,operational,1
male,operational,1
female,upper management,1
male,middle management,1
female,operational,0
female,middle management,1
male,operational,1
male,middle management,1
female,operational,1
male,top management,1
female,operational,1
female,operational,1
male,upper management,1
female,middle management,1
female,upper management,1
female,operational,1
male,operational,1
female,middle management,0
male,middle management,1
female,middle management,1
female,middle management,1
male,operational,1
male,middle management,1
male,operational,1
female,middle management,0
female,operational,1
female,junior management,1
female,middle management,1
female,junior management,1
male,middle management,1
male,upper management,0
female,operational,1
male,upper management,1
male,junior management,1
male,junior management,1
male,middle management,1
female,operational,1
female,operational,1
female,junior management,0
male,middle management,1
male,middle management,1
female,operational,1
male,middle management,0
female,operational,1
female,junior management,1
female,operational,1
female,upper management,1
male,middle management,1
male,middle management,1
male,operational,1
female,operational,1
female,operational,1
male,middle management,1
female,middle management,1
female,upper management,1
male,operational,0
male,middle management,1
female,operational,1
male,operational,1
